Fecha,Departamento,Municipio,DELITO,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,EL RINCON C-16,URBANA,VIAS PUBLICAS,CONTUNDENTES,A PIE,A PIE,9,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,LA PRADERA C-13,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,MARIA CANO - CARAMBOLAS  C-3,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,13,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,PICACHITO C-6,URBANA,CASAS DE HABITACION,NO REPORTADO,A PIE,A PIE,12,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,SUCRE C-8,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,8,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,09:00:00,EL PINAL C-8,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,10,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:01:00,DOCE DE OCTUBRE C-6,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,4,FEMENINO,SOLTERO,-,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,MEDELLÍN (CT),ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,Martes,00:00:00,LA FLORESTA C-12,URBANA,OTRO,NO REPORTADO,A PIE,A PIE,18,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.001.000,1
01/01/2019 00:00,ANTIOQUIA,NARIÑO,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,Martes,09:00:00,SAN ANDRES,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,10,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5.483.000,1
01/01/2019 00:00,ANTIOQUIA,NECHÍ,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,Martes,22:30:00,CHAPARRO,URBANA,CASAS DE HABITACION,CONTUNDENTES,A PIE,A PIE,24,FEMENINO,UNION LIBRE,COLOMBIA,AMA DE CASA,-,PRIMARIA,5.495.000,1
01/01/2019 00:00,ANTIOQUIA,PEÑOL,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,00:00:00,LA ESTRELLA,URBANA,VIAS PUBLICAS,SIN EMPLEO DE ARMAS,A PIE,A PIE,11,FEMENINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5.541.000,1
01/01/2019 00:00,ANTIOQUIA,RIONEGRO,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,09:00:00,LAS PLAYAS,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,2,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADA,NO REPORTADO,5.615.000,1
01/01/2019 00:00,ANTIOQUIA,SABANETA,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,Martes,13:07:00,CALLE DEL BANCO,URBANA,CASAS DE HABITACION,SIN EMPLEO DE ARMAS,A PIE,A PIE,8,MASCULINO,SOLTERO,COLOMBIA,ESTUDIANTE,NO REPORTADA,PRIMARIA,5.631.000,1
